"","mean_s","d","el","mean_p","d_el","d2","el2","d_el_div","log_d","log_el","sqrt_d","sqrt_el","class"
"141",6,421,106,0.55,44626,177241,11236,3.97169811320755,6.04263283368238,4.66343909411207,20.5182845286832,10.295630140987,0
"142",6,426,106,0.55,45156,181476,11236,4.0188679245283,6.05443934626937,4.66343909411207,20.6397674405503,10.295630140987,0
"143",6,426,181,0.45,77106,181476,32761,2.35359116022099,6.05443934626937,5.19849703126583,20.6397674405503,13.4536240470737,1
"144",6,431,106,0.55,45686,185761,11236,4.06603773584906,6.06610809010375,4.66343909411207,20.7605394920267,10.295630140987,0
"145",6,431,181,0.45,78011,185761,32761,2.38121546961326,6.06610809010375,5.19849703126583,20.7605394920267,13.4536240470737,1
"146",6,436,91,0.55,39676,190096,8281,4.79120879120879,6.07764224334903,4.51085950651685,20.8806130178211,9.53939201416946,0
"147",6,436,106,0.55,46216,190096,11236,4.11320754716981,6.07764224334903,4.66343909411207,20.8806130178211,10.295630140987,0
"148",6,436,181,0.44,78916,190096,32761,2.40883977900552,6.07764224334903,5.19849703126583,20.8806130178211,13.4536240470737,1
"149",6,441,91,0.55,40131,194481,8281,4.84615384615385,6.08904487544685,4.51085950651685,21,9.53939201416946,0
"150",6,441,106,0.55,46746,194481,11236,4.16037735849057,6.08904487544685,4.66343909411207,21,10.295630140987,0
"151",7,446,61,0.55,27206,198916,3721,7.31147540983607,6.10031895202006,4.11087386417331,21.1187120819429,7.81024967590665,0
"152",6.1,446,76,0.55,33896,198916,5776,5.86842105263158,6.10031895202006,4.33073334028633,21.1187120819429,8.71779788708135,0
"153",6,446,91,0.55,40586,198916,8281,4.9010989010989,6.10031895202006,4.51085950651685,21.1187120819429,9.53939201416946,0
"154",6,446,106,0.55,47276,198916,11236,4.20754716981132,6.10031895202006,4.66343909411207,21.1187120819429,10.295630140987,0
"155",6.6,451,61,0.55,27511,203401,3721,7.39344262295082,6.11146733950268,4.11087386417331,21.2367605815953,7.81024967590665,0
"156",6,451,106,0.55,47806,203401,11236,4.25471698113208,6.11146733950268,4.66343909411207,21.2367605815953,10.295630140987,0
"157",6,451,136,0.55,61336,203401,18496,3.31617647058824,6.11146733950268,4.91265488573605,21.2367605815953,11.6619037896906,0
"158",6,456,106,0.55,48336,207936,11236,4.30188679245283,6.12249280951439,4.66343909411207,21.3541565040626,10.295630140987,0
"159",6.8,461,61,0.55,28121,212521,3721,7.55737704918033,6.13339804299665,4.11087386417331,21.4709105535839,7.81024967590665,0
"160",6,461,106,0.55,48866,212521,11236,4.34905660377358,6.13339804299665,4.66343909411207,21.4709105535839,10.295630140987,0
"161",6,466,106,0.55,49396,217156,11236,4.39622641509434,6.14418563412565,4.66343909411207,21.5870331449229,10.295630140987,0
"162",6,466,166,0.55,77356,217156,27556,2.80722891566265,6.14418563412565,5.11198778835654,21.5870331449229,12.8840987267251,1
"163",6.3,471,61,0.55,28731,221841,3721,7.72131147540984,6.15485809401642,4.11087386417331,21.7025344142107,7.81024967590665,0
"164",6,471,166,0.55,78186,221841,27556,2.83734939759036,6.15485809401642,5.11198778835654,21.7025344142107,12.8840987267251,1
"165",6.6,476,61,0.55,29036,226576,3721,7.80327868852459,6.16541785423142,4.11087386417331,21.8174242292714,7.81024967590665,0
"166",6.2,481,61,0.55,29341,231361,3721,7.88524590163934,6.17586727010576,4.11087386417331,21.9317121994613,7.81024967590665,0
"167",6.7,486,61,0.55,29646,236196,3721,7.9672131147541,6.18620862390049,4.11087386417331,22.0454076850486,7.81024967590665,0
"168",6,486,76,0.55,36936,236196,5776,6.39473684210526,6.18620862390049,4.33073334028633,22.0454076850486,8.71779788708135,0
"169",6.7,491,61,0.55,29951,241081,3721,8.04918032786885,6.19644412779452,4.11087386417331,22.1585198061603,7.81024967590665,0
"170",6,496,106,0.55,52576,246016,11236,4.67924528301887,6.20657592672493,4.66343909411207,22.2710574513201,10.295630140987,0
"171",6,501,76,0.55,38076,251001,5776,6.59210526315789,6.21660610108486,4.33073334028633,22.3830292855994,8.71779788708135,0
"172",6,501,106,0.55,53106,251001,11236,4.72641509433962,6.21660610108486,4.66343909411207,22.3830292855994,10.295630140987,0
"173",7.1,506,61,0.55,30866,256036,3721,8.29508196721311,6.22653666928747,4.11087386417331,22.494443758404,7.81024967590665,0
"174",6,506,106,0.55,53636,256036,11236,4.77358490566038,6.22653666928747,4.66343909411207,22.494443758404,10.295630140987,0
"175",6,506,121,0.55,61226,256036,14641,4.18181818181818,6.22653666928747,4.79579054559674,22.494443758404,11,0
"176",6.9,511,61,0.55,31171,261121,3721,8.37704918032787,6.2363695902037,4.11087386417331,22.6053091109146,7.81024967590665,0
"177",6,511,106,0.55,54166,261121,11236,4.82075471698113,6.2363695902037,4.66343909411207,22.6053091109146,10.295630140987,0
"178",6,511,121,0.55,61831,261121,14641,4.22314049586777,6.2363695902037,4.79579054559674,22.6053091109146,11,0
"179",6.9,516,61,0.55,31476,266256,3721,8.45901639344262,6.24610676548156,4.11087386417331,22.7156333832011,7.81024967590665,0
"180",6,516,106,0.55,54696,266256,11236,4.86792452830189,6.24610676548156,4.66343909411207,22.7156333832011,10.295630140987,0
"181",6,516,121,0.55,62436,266256,14641,4.26446280991736,6.24610676548156,4.79579054559674,22.7156333832011,11,0
"182",6.6,521,61,0.55,31781,271441,3721,8.54098360655738,6.25575004175337,4.11087386417331,22.8254244210267,7.81024967590665,0
"183",6,521,106,0.55,55226,271441,11236,4.91509433962264,6.25575004175337,4.66343909411207,22.8254244210267,10.295630140987,0
"184",6.5,526,61,0.55,32086,276676,3721,8.62295081967213,6.26530121273771,4.11087386417331,22.9346898823594,7.81024967590665,0
"185",6,526,106,0.55,55756,276676,11236,4.9622641509434,6.26530121273771,4.66343909411207,22.9346898823594,10.295630140987,0
"186",6.1,531,61,0.55,32391,281961,3721,8.70491803278689,6.27476202124194,4.11087386417331,23.0434372436058,7.81024967590665,0
"187",6,531,106,0.55,56286,281961,11236,5.00943396226415,6.27476202124194,4.66343909411207,23.0434372436058,10.295630140987,0
"188",6,536,106,0.55,56816,287296,11236,5.05660377358491,6.2841341610708,4.66343909411207,23.1516738055805,10.295630140987,0
"189",6,536,136,0.55,72896,287296,18496,3.94117647058824,6.2841341610708,4.91265488573605,23.1516738055805,11.6619037896906,0
"190",6,541,106,0.55,57346,292681,11236,5.10377358490566,6.29341927884648,4.66343909411207,23.259406699226,10.295630140987,0
"191",6,546,106,0.55,57876,298116,11236,5.15094339622642,6.30261897574491,4.66343909411207,23.3666428910958,10.295630140987,0
"192",6.3,551,76,0.55,41876,303601,5776,7.25,6.31173480915291,4.33073334028633,23.473389188611,8.71779788708135,0
"193",6,551,106,0.55,58406,303601,11236,5.19811320754717,6.31173480915291,4.66343909411207,23.473389188611,10.295630140987,0
"194",6,556,106,0.55,58936,309136,11236,5.24528301886792,6.32076829425058,4.66343909411207,23.5796522451032,10.295630140987,0
"195",6,561,61,0.55,34221,314721,3721,9.19672131147541,6.3297209055227,4.11087386417331,23.685438564654,7.81024967590665,0
"196",6,561,106,0.55,59466,314721,11236,5.29245283018868,6.3297209055227,4.66343909411207,23.685438564654,10.295630140987,0
"197",6.7,566,61,0.55,34526,320356,3721,9.27868852459016,6.33859407820318,4.11087386417331,23.7907545067406,7.81024967590665,0
"198",6.3,571,61,0.55,34831,326041,3721,9.36065573770492,6.34738920965601,4.11087386417331,23.895606290697,7.81024967590665,0
"199",6,606,76,0.55,46056,367236,5776,7.97368421052632,6.40687998606931,4.33073334028633,24.6170672501823,8.71779788708135,0
"200",6.1,611,61,0.55,37271,373321,3721,10.016393442623,6.4150969591716,4.11087386417331,24.7184141886165,7.81024967590665,1
"201",6,611,76,0.55,46436,373321,5776,8.03947368421053,6.4150969591716,4.33073334028633,24.7184141886165,8.71779788708135,0
"202",6.1,616,61,0.55,37576,379456,3721,10.0983606557377,6.42324696353352,4.11087386417331,24.8193472919817,7.81024967590665,0
"203",6,616,76,0.55,46816,379456,5776,8.10526315789474,6.42324696353352,4.33073334028633,24.8193472919817,8.71779788708135,0
"204",6.1,621,61,0.55,37881,385641,3721,10.1803278688525,6.43133108193348,4.11087386417331,24.9198715887542,7.81024967590665,1
"205",6,621,76,0.55,47196,385641,5776,8.17105263157895,6.43133108193348,4.33073334028633,24.9198715887542,8.71779788708135,0
"206",6.1,626,61,0.55,38186,391876,3721,10.2622950819672,6.4393503711001,4.11087386417331,25.0199920063936,7.81024967590665,1
"207",6.1,631,61,0.55,38491,398161,3721,10.344262295082,6.44730586254121,4.11087386417331,25.1197133741609,7.81024967590665,0
"208",6.3,636,61,0.55,38796,404496,3721,10.4262295081967,6.45519856334012,4.11087386417331,25.219040425837,7.81024967590665,0
"209",6.2,641,61,0.55,39101,410881,3721,10.5081967213115,6.46302945692067,4.11087386417331,25.3179778023443,7.81024967590665,0
